Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2010-10-19 16:50,EOD Exit,2007,1,2008,94,0.05,477,0.24,-1423,-0.71,94,0.19
1,Entry short,2010-10-19 09:30,Short,2008,1,2008,94,0.05,477,0.24,-1423,-0.71,94,0.19
2,Exit long,2010-10-25 09:40,Close entry(s) order Long,2016.7,1,2018.7,-206,-0.10,67,0.03,-223,-0.11,-112,-0.22
2,Entry long,2010-10-25 09:30,Long,2018.7,1,2018.7,-206,-0.10,67,0.03,-223,-0.11,-112,-0.22
3,Exit long,2010-11-04 16:50,EOD Exit,2066.5,1,2052.6,1384,0.67,1557,0.76,-343,-0.17,1272,2.54
3,Entry long,2010-11-04 09:30,Long,2052.6,1,2052.6,1384,0.67,1557,0.76,-343,-0.17,1272,2.54
4,Exit long,2010-11-09 13:20,Close entry(s) order Long,2090.5,1,2091.7,-126,-0.06,737,0.35,-193,-0.09,1146,2.29
4,Entry long,2010-11-09 09:30,Long,2091.7,1,2091.7,-126,-0.06,737,0.35,-193,-0.09,1146,2.29
5,Exit short,2010-11-10 11:55,Close entry(s) order Short,2071.3,1,2073.9,254,0.12,1567,0.76,-73,-0.04,1400,2.80
5,Entry short,2010-11-10 09:30,Short,2073.9,1,2073.9,254,0.12,1567,0.76,-73,-0.04,1400,2.80
6,Exit short,2010-11-16 16:50,EOD Exit,2014,1,2026.9,1284,0.63,2307,1.14,-293,-0.14,2684,5.37
6,Entry short,2010-11-16 09:30,Short,2026.9,1,2026.9,1284,0.63,2307,1.14,-293,-0.14,2684,5.37
7,Exit long,2010-11-23 16:50,EOD Exit,2051,1,2042.4,854,0.42,1527,0.75,-13,-0.01,3538,7.08
7,Entry long,2010-11-23 09:30,Long,2042.4,1,2042.4,854,0.42,1527,0.75,-13,-0.01,3538,7.08
8,Exit long,2010-11-30 16:50,EOD Exit,2059.6,1,2059,54,0.03,497,0.24,-483,-0.23,3592,7.18
8,Entry long,2010-11-30 09:30,Long,2059,1,2059,54,0.03,497,0.24,-483,-0.23,3592,7.18
9,Exit long,2010-12-13 15:45,Close entry(s) order Long,2067.2,1,2070.1,-296,-0.14,297,0.14,-493,-0.24,3296,6.59
9,Entry long,2010-12-13 09:30,Long,2070.1,1,2070.1,-296,-0.14,297,0.14,-493,-0.24,3296,6.59
10,Exit short,2010-12-16 12:50,Close entry(s) order Short,2046.8,1,2046.4,-46,-0.02,1187,0.58,-223,-0.11,3250,6.50
10,Entry short,2010-12-16 09:30,Short,2046.4,1,2046.4,-46,-0.02,1187,0.58,-223,-0.11,3250,6.50
11,Exit long,2010-12-20 09:45,Close entry(s) order Long,2056.1,1,2058.3,-226,-0.11,67,0.03,-223,-0.11,3024,6.05
11,Entry long,2010-12-20 09:30,Long,2058.3,1,2058.3,-226,-0.11,67,0.03,-223,-0.11,3024,6.05
12,Exit long,2010-12-28 16:50,EOD Exit,2079.3,1,2075.8,344,0.17,457,0.22,-293,-0.14,3368,6.74
12,Entry long,2010-12-28 09:30,Long,2075.8,1,2075.8,344,0.17,457,0.22,-293,-0.14,3368,6.74
13,Exit short,2011-01-04 16:50,EOD Exit,2053.7,1,2068.4,1464,0.71,2047,0.99,-13,-0.01,4832,9.66
13,Entry short,2011-01-04 09:30,Short,2068.4,1,2068.4,1464,0.71,2047,0.99,-13,-0.01,4832,9.66
14,Exit short,2011-01-05 11:35,Close entry(s) order Short,2047.9,1,2039.8,-816,-0.40,287,0.14,-953,-0.47,4016,8.03
14,Entry short,2011-01-05 09:30,Short,2039.8,1,2039.8,-816,-0.40,287,0.14,-953,-0.47,4016,8.03
15,Exit short,2011-01-16 18:00,Close entry(s) order Short,2035.3,1,2036.7,134,0.07,917,0.45,-493,-0.24,4150,8.30
15,Entry short,2011-01-14 09:30,Short,2036.7,1,2036.7,134,0.07,917,0.45,-493,-0.24,4150,8.30
16,Exit short,2011-01-20 14:30,Close entry(s) order Short,2025.1,1,2021.4,-376,-0.19,607,0.30,-463,-0.23,3774,7.55
16,Entry short,2011-01-20 09:30,Short,2021.4,1,2021.4,-376,-0.19,607,0.30,-463,-0.23,3774,7.55
17,Exit short,2011-01-25 10:35,Close entry(s) order Short,2001.3,1,1999.8,-156,-0.08,467,0.23,-293,-0.15,3618,7.24
17,Entry short,2011-01-25 09:30,Short,1999.8,1,1999.8,-156,-0.08,467,0.23,-293,-0.15,3618,7.24
18,Exit long,2011-02-04 10:45,Close entry(s) order Long,2024.1,1,2024.7,-66,-0.03,777,0.38,-143,-0.07,3552,7.10
18,Entry long,2011-02-04 09:30,Long,2024.7,1,2024.7,-66,-0.03,777,0.38,-143,-0.07,3552,7.10
19,Exit long,2011-02-21 22:05,Close entry(s) order Long,2073.5,1,2074.9,-146,-0.07,807,0.39,-143,-0.07,3406,6.81
19,Entry long,2011-02-21 09:30,Long,2074.9,1,2074.9,-146,-0.07,807,0.39,-143,-0.07,3406,6.81
20,Exit short,2011-03-03 16:50,EOD Exit,2088.1,1,2093,484,0.23,1087,0.52,-523,-0.25,3890,7.78
20,Entry short,2011-03-03 09:30,Short,2093,1,2093,484,0.23,1087,0.52,-523,-0.25,3890,7.78
21,Exit short,2011-03-15 10:55,Close entry(s) order Short,2072.5,1,2061.8,-1076,-0.52,37,0.02,-1143,-0.55,2814,5.63
21,Entry short,2011-03-15 09:30,Short,2061.8,1,2061.8,-1076,-0.52,37,0.02,-1143,-0.55,2814,5.63
22,Exit short,2011-03-28 10:00,Close entry(s) order Short,2089,1,2085.5,-356,-0.17,17,0.01,-513,-0.25,2458,4.92
22,Entry short,2011-03-28 09:30,Short,2085.5,1,2085.5,-356,-0.17,17,0.01,-513,-0.25,2458,4.92
23,Exit long,2011-03-31 14:30,Close entry(s) order Long,2105.5,1,2107.5,-206,-0.10,367,0.17,-283,-0.13,2252,4.50
23,Entry long,2011-03-31 09:30,Long,2107.5,1,2107.5,-206,-0.10,367,0.17,-283,-0.13,2252,4.50
24,Exit short,2011-04-01 11:10,Close entry(s) order Short,2096.7,1,2092.7,-406,-0.19,897,0.43,-403,-0.19,1846,3.69
24,Entry short,2011-04-01 09:30,Short,2092.7,1,2092.7,-406,-0.19,897,0.43,-403,-0.19,1846,3.69
25,Exit long,2011-04-28 11:45,Close entry(s) order Long,2201.8,1,2202.3,-56,-0.03,667,0.30,-83,-0.04,1790,3.58
25,Entry long,2011-04-28 09:30,Long,2202.3,1,2202.3,-56,-0.03,667,0.30,-83,-0.04,1790,3.58
26,Exit short,2011-05-03 11:00,Close entry(s) order Short,2211.6,1,2211,-66,-0.03,827,0.37,-223,-0.10,1724,3.45
26,Entry short,2011-05-03 09:30,Short,2211,1,2211,-66,-0.03,827,0.37,-223,-0.10,1724,3.45
27,Exit short,2011-05-05 09:40,Close entry(s) order Short,2178.8,1,2175.8,-306,-0.14,187,0.09,-423,-0.19,1418,2.84
27,Entry short,2011-05-05 09:30,Short,2175.8,1,2175.8,-306,-0.14,187,0.09,-423,-0.19,1418,2.84
28,Exit short,2011-05-17 12:40,Close entry(s) order Short,2153,1,2149.8,-326,-0.15,847,0.39,-533,-0.25,1092,2.18
28,Entry short,2011-05-17 09:30,Short,2149.8,1,2149.8,-326,-0.15,847,0.39,-533,-0.25,1092,2.18
29,Exit long,2011-06-03 11:25,Close entry(s) order Long,2206.9,1,2213.6,-676,-0.31,267,0.12,-803,-0.36,416,0.83
29,Entry long,2011-06-03 09:30,Long,2213.6,1,2213.6,-676,-0.31,267,0.12,-803,-0.36,416,0.83
30,Exit short,2011-06-23 16:50,EOD Exit,2191.5,1,2194.8,324,0.15,1397,0.64,-283,-0.13,740,1.48
30,Entry short,2011-06-23 09:30,Short,2194.8,1,2194.8,324,0.15,1397,0.64,-283,-0.13,740,1.48
31,Exit short,2011-07-01 16:50,EOD Exit,2157.3,1,2153.7,-366,-0.17,607,0.28,-533,-0.25,374,0.75
31,Entry short,2011-07-01 09:30,Short,2153.7,1,2153.7,-366,-0.17,607,0.28,-533,-0.25,374,0.75
32,Exit long,2011-07-06 16:50,EOD Exit,2198.4,1,2197.1,124,0.06,667,0.30,-233,-0.11,498,1.00
32,Entry long,2011-07-06 09:30,Long,2197.1,1,2197.1,124,0.06,667,0.30,-233,-0.11,498,1.00
33,Exit long,2011-07-08 16:50,EOD Exit,2213.5,1,2212.4,104,0.05,227,0.10,-293,-0.13,602,1.20
33,Entry long,2011-07-08 09:30,Long,2212.4,1,2212.4,104,0.05,227,0.10,-293,-0.13,602,1.20
34,Exit long,2011-07-13 14:30,Close entry(s) order Long,2248.2,1,2247.5,64,0.03,1067,0.47,-123,-0.05,666,1.33
34,Entry long,2011-07-13 09:30,Long,2247.5,1,2247.5,64,0.03,1067,0.47,-123,-0.05,666,1.33
35,Exit short,2011-07-20 10:05,Close entry(s) order Short,2257,1,2253.4,-366,-0.16,97,0.04,-463,-0.21,300,0.60
35,Entry short,2011-07-20 09:30,Short,2253.4,1,2253.4,-366,-0.16,97,0.04,-463,-0.21,300,0.60
36,Exit long,2011-07-25 09:50,Close entry(s) order Long,2285.3,1,2287.8,-256,-0.11,47,0.02,-353,-0.15,44,0.09
36,Entry long,2011-07-25 09:30,Long,2287.8,1,2287.8,-256,-0.11,47,0.02,-353,-0.15,44,0.09
37,Exit long,2011-07-29 10:50,Close entry(s) order Long,2292,1,2299.8,-786,-0.34,267,0.12,-1143,-0.50,-742,-1.48
37,Entry long,2011-07-29 09:30,Long,2299.8,1,2299.8,-786,-0.34,267,0.12,-1143,-0.50,-742,-1.48
38,Exit long,2011-08-03 10:55,Close entry(s) order Long,2334.7,1,2335.7,-106,-0.05,597,0.26,-103,-0.04,-848,-1.70
38,Entry long,2011-08-03 09:30,Long,2335.7,1,2335.7,-106,-0.05,597,0.26,-103,-0.04,-848,-1.70
39,Exit short,2011-08-05 09:40,Close entry(s) order Short,2328.1,1,2325.7,-246,-0.11,557,0.24,-243,-0.10,-1094,-2.19
39,Entry short,2011-08-05 09:30,Short,2325.7,1,2325.7,-246,-0.11,557,0.24,-243,-0.10,-1094,-2.19
40,Exit long,2011-08-10 14:20,Close entry(s) order Long,2435.5,1,2445.8,-1036,-0.42,2227,0.91,-1373,-0.56,-2130,-4.26
40,Entry long,2011-08-10 09:30,Long,2445.8,1,2445.8,-1036,-0.42,2227,0.91,-1373,-0.56,-2130,-4.26
41,Exit short,2011-08-11 16:50,EOD Exit,2433.8,1,2430.6,-326,-0.13,2897,1.19,-883,-0.36,-2456,-4.91
41,Entry short,2011-08-11 09:30,Short,2430.6,1,2430.6,-326,-0.13,2897,1.19,-883,-0.36,-2456,-4.91
42,Exit short,2011-08-12 14:35,Close entry(s) order Short,2414,1,2407.6,-646,-0.27,1467,0.61,-833,-0.35,-3102,-6.20
42,Entry short,2011-08-12 09:30,Short,2407.6,1,2407.6,-646,-0.27,1467,0.61,-833,-0.35,-3102,-6.20
43,Exit long,2011-08-16 09:35,Close entry(s) order Long,2441.6,1,2444.3,-276,-0.11,0,0.00,-293,-0.12,-3378,-6.76
43,Entry long,2011-08-16 09:30,Long,2444.3,1,2444.3,-276,-0.11,0,0.00,-293,-0.12,-3378,-6.76
44,Exit long,2011-08-18 16:50,EOD Exit,2493.9,1,2487.2,664,0.27,1187,0.48,-603,-0.24,-2714,-5.43
44,Entry long,2011-08-18 09:30,Long,2487.2,1,2487.2,664,0.27,1187,0.48,-603,-0.24,-2714,-5.43
45,Exit long,2011-08-19 09:35,Close entry(s) order Long,2523.6,1,2525.3,-176,-0.07,147,0.06,-243,-0.10,-2890,-5.78
45,Entry long,2011-08-19 09:30,Long,2525.3,1,2525.3,-176,-0.07,147,0.06,-243,-0.10,-2890,-5.78
46,Exit short,2011-08-23 11:05,Close entry(s) order Short,2554.9,1,2536.9,-1806,-0.71,7,0.00,-1903,-0.75,-4696,-9.39
46,Entry short,2011-08-23 09:30,Short,2536.9,1,2536.9,-1806,-0.71,7,0.00,-1903,-0.75,-4696,-9.39
47,Exit short,2011-08-24 16:50,EOD Exit,2430.1,1,2494.5,6434,2.58,7577,3.04,-703,-0.28,1738,3.48
47,Entry short,2011-08-24 09:30,Short,2494.5,1,2494.5,6434,2.58,7577,3.04,-703,-0.28,1738,3.48
48,Exit short,2011-08-25 09:50,Close entry(s) order Short,2400.3,1,2385.6,-1476,-0.62,757,0.32,-1623,-0.68,262,0.52
48,Entry short,2011-08-25 09:30,Short,2385.6,1,2385.6,-1476,-0.62,757,0.32,-1623,-0.68,262,0.52
49,Exit long,2011-08-30 16:50,EOD Exit,2504,1,2493.4,1054,0.42,1877,0.75,-933,-0.37,1316,2.63
49,Entry long,2011-08-30 09:30,Long,2493.4,1,2493.4,1054,0.42,1877,0.75,-933,-0.37,1316,2.63
50,Exit long,2011-09-02 16:50,EOD Exit,2552,1,2544.6,734,0.29,987,0.39,-453,-0.18,2050,4.10
50,Entry long,2011-09-02 09:30,Long,2544.6,1,2544.6,734,0.29,987,0.39,-453,-0.18,2050,4.10
51,Exit long,2011-09-06 03:55,Close entry(s) order Long,2553,1,2560.3,-736,-0.29,3047,1.19,-1113,-0.43,1314,2.63
51,Entry long,2011-09-05 09:30,Long,2560.3,1,2560.3,-736,-0.29,3047,1.19,-1113,-0.43,1314,2.63
52,Exit short,2011-09-07 12:45,Close entry(s) order Short,2498.1,1,2481.5,-1666,-0.67,2057,0.83,-1713,-0.69,-352,-0.70
52,Entry short,2011-09-07 09:30,Short,2481.5,1,2481.5,-1666,-0.67,2057,0.83,-1713,-0.69,-352,-0.70
53,Exit short,2011-09-12 16:50,EOD Exit,2485.8,1,2504,1814,0.72,3287,1.31,-353,-0.14,1462,2.92
53,Entry short,2011-09-12 09:30,Short,2504,1,2504,1814,0.72,3287,1.31,-353,-0.14,1462,2.92
54,Exit short,2011-09-15 16:50,EOD Exit,2458.6,1,2461.1,244,0.10,1897,0.77,-513,-0.21,1706,3.41
54,Entry short,2011-09-15 09:30,Short,2461.1,1,2461.1,244,0.10,1897,0.77,-513,-0.21,1706,3.41
55,Exit short,2011-09-22 12:45,Close entry(s) order Short,2418.3,1,2407.2,-1116,-0.46,1687,0.70,-1133,-0.47,590,1.18
55,Entry short,2011-09-22 09:30,Short,2407.2,1,2407.2,-1116,-0.46,1687,0.70,-1133,-0.47,590,1.18
56,Exit short,2011-09-23 16:50,EOD Exit,2324,1,2361.6,3754,1.59,6277,2.66,-1043,-0.44,4344,8.69
56,Entry short,2011-09-23 09:30,Short,2361.6,1,2361.6,3754,1.59,6277,2.66,-1043,-0.44,4344,8.69
57,Exit long,2011-10-03 10:40,Close entry(s) order Long,2316.6,1,2324.3,-776,-0.33,387,0.17,-863,-0.37,3568,7.14
57,Entry long,2011-10-03 09:30,Long,2324.3,1,2324.3,-776,-0.33,387,0.17,-863,-0.37,3568,7.14
58,Exit long,2011-10-12 09:45,Close entry(s) order Long,2347.6,1,2350.1,-256,-0.11,37,0.02,-383,-0.16,3312,6.62
58,Entry long,2011-10-12 09:30,Long,2350.1,1,2350.1,-256,-0.11,37,0.02,-383,-0.16,3312,6.62
59,Exit long,2011-10-14 10:25,Close entry(s) order Long,2342.6,1,2346.6,-406,-0.17,207,0.09,-563,-0.24,2906,5.81
59,Entry long,2011-10-14 09:30,Long,2346.6,1,2346.6,-406,-0.17,207,0.09,-563,-0.24,2906,5.81
60,Exit short,2011-10-18 11:40,Close entry(s) order Short,2317.5,1,2311.1,-646,-0.28,1577,0.68,-663,-0.29,2260,4.52
60,Entry short,2011-10-18 09:30,Short,2311.1,1,2311.1,-646,-0.28,1577,0.68,-663,-0.29,2260,4.52
61,Exit short,2011-10-20 09:45,Close entry(s) order Short,2293.1,1,2289.3,-386,-0.17,167,0.07,-593,-0.26,1874,3.75
61,Entry short,2011-10-20 09:30,Short,2289.3,1,2289.3,-386,-0.17,167,0.07,-593,-0.26,1874,3.75
62,Exit long,2011-10-21 16:50,EOD Exit,2310,1,2314.8,-486,-0.21,207,0.09,-1333,-0.58,1388,2.78
62,Entry long,2011-10-21 09:30,Long,2314.8,1,2314.8,-486,-0.21,207,0.09,-1333,-0.58,1388,2.78
63,Exit long,2011-10-26 10:45,Close entry(s) order Long,2378.9,1,2386.6,-776,-0.33,497,0.21,-853,-0.36,612,1.22
63,Entry long,2011-10-26 09:30,Long,2386.6,1,2386.6,-776,-0.33,497,0.21,-853,-0.36,612,1.22
64,Exit short,2011-11-01 10:10,Close entry(s) order Short,2369.6,1,2356.6,-1306,-0.55,117,0.05,-1493,-0.63,-694,-1.39
64,Entry short,2011-11-01 09:30,Short,2356.6,1,2356.6,-1306,-0.55,117,0.05,-1493,-0.63,-694,-1.39
65,Exit long,2011-11-02 12:55,Close entry(s) order Long,2399.3,1,2400.6,-136,-0.06,1207,0.50,-253,-0.11,-830,-1.66
65,Entry long,2011-11-02 09:30,Long,2400.6,1,2400.6,-136,-0.06,1207,0.50,-253,-0.11,-830,-1.66
66,Exit long,2011-11-03 16:50,EOD Exit,2432.4,1,2426.2,614,0.25,1037,0.43,-1163,-0.48,-216,-0.43
66,Entry long,2011-11-03 09:30,Long,2426.2,1,2426.2,614,0.25,1037,0.43,-1163,-0.48,-216,-0.43
67,Exit long,2011-11-07 16:50,EOD Exit,2463.4,1,2448.2,1514,0.62,1877,0.77,-263,-0.11,1298,2.60
67,Entry long,2011-11-07 09:30,Long,2448.2,1,2448.2,1514,0.62,1877,0.77,-263,-0.11,1298,2.60
68,Exit short,2011-11-16 10:50,Close entry(s) order Short,2435,1,2429.9,-516,-0.21,887,0.37,-653,-0.27,782,1.56
68,Entry short,2011-11-16 09:30,Short,2429.9,1,2429.9,-516,-0.21,887,0.37,-653,-0.27,782,1.56
69,Exit short,2011-11-17 16:50,EOD Exit,2389.5,1,2414.2,2464,1.02,3607,1.49,-143,-0.06,3246,6.49
69,Entry short,2011-11-17 09:30,Short,2414.2,1,2414.2,2464,1.02,3607,1.49,-143,-0.06,3246,6.49
70,Exit short,2011-11-18 10:10,Close entry(s) order Short,2393.1,1,2387,-616,-0.26,337,0.14,-653,-0.27,2630,5.26
70,Entry short,2011-11-18 09:30,Short,2387,1,2387,-616,-0.26,337,0.14,-653,-0.27,2630,5.26
71,Exit long,2011-11-28 10:55,Close entry(s) order Long,2378.7,1,2385.1,-646,-0.27,57,0.02,-693,-0.29,1984,3.97
71,Entry long,2011-11-28 09:30,Long,2385.1,1,2385.1,-646,-0.27,57,0.02,-693,-0.29,1984,3.97
72,Exit long,2011-11-30 16:50,EOD Exit,2413.5,1,2412,144,0.06,607,0.25,-733,-0.30,2128,4.26
72,Entry long,2011-11-30 09:30,Long,2412,1,2412,144,0.06,607,0.25,-733,-0.30,2128,4.26
73,Exit short,2011-12-06 11:55,Close entry(s) order Short,2379.9,1,2377.8,-216,-0.09,867,0.36,-253,-0.11,1912,3.82
73,Entry short,2011-12-06 09:30,Short,2377.8,1,2377.8,-216,-0.09,867,0.36,-253,-0.11,1912,3.82
74,Exit long,2011-12-07 10:35,Close entry(s) order Long,2395.5,1,2404.6,-916,-0.38,7,0.00,-953,-0.40,996,1.99
74,Entry long,2011-12-07 09:30,Long,2404.6,1,2404.6,-916,-0.38,7,0.00,-953,-0.40,996,1.99
75,Exit short,2011-12-12 16:50,EOD Exit,2333.8,1,2334.1,24,0.01,1037,0.44,-183,-0.08,1020,2.04
75,Entry short,2011-12-12 09:30,Short,2334.1,1,2334.1,24,0.01,1037,0.44,-183,-0.08,1020,2.04
76,Exit short,2011-12-14 16:50,EOD Exit,2239.8,1,2279.3,3944,1.73,5017,2.20,-493,-0.22,4964,9.93
76,Entry short,2011-12-14 09:30,Short,2279.3,1,2279.3,3944,1.73,5017,2.20,-493,-0.22,4964,9.93
77,Exit long,2011-12-20 16:50,EOD Exit,2279.8,1,2279,74,0.03,517,0.23,-383,-0.17,5038,10.08
77,Entry long,2011-12-20 09:30,Long,2279,1,2279,74,0.03,517,0.23,-383,-0.17,5038,10.08
78,Exit short,2011-12-29 13:25,Close entry(s) order Short,2203.8,1,2193.9,-996,-0.45,167,0.08,-1293,-0.59,4042,8.08
78,Entry short,2011-12-29 09:30,Short,2193.9,1,2193.9,-996,-0.45,167,0.08,-1293,-0.59,4042,8.08
79,Exit long,2012-01-03 16:50,EOD Exit,2268,1,2254.9,1304,0.58,1717,0.76,-73,-0.03,5346,10.69
79,Entry long,2012-01-03 09:30,Long,2254.9,1,2254.9,1304,0.58,1717,0.76,-73,-0.03,5346,10.69
80,Exit long,2012-01-06 09:40,Close entry(s) order Long,2286.8,1,2290.5,-376,-0.16,57,0.02,-613,-0.27,4970,9.94
80,Entry long,2012-01-06 09:30,Long,2290.5,1,2290.5,-376,-0.16,57,0.02,-613,-0.27,4970,9.94
81,Exit long,2012-01-10 13:10,Close entry(s) order Long,2295.1,1,2299.1,-406,-0.18,507,0.22,-443,-0.19,4564,9.13
81,Entry long,2012-01-10 09:30,Long,2299.1,1,2299.1,-406,-0.18,507,0.22,-443,-0.19,4564,9.13
82,Exit short,2012-01-13 15:20,Close entry(s) order Short,2301.9,1,2303.4,144,0.06,1427,0.62,-193,-0.08,4708,9.42
82,Entry short,2012-01-13 09:30,Short,2303.4,1,2303.4,144,0.06,1427,0.62,-193,-0.08,4708,9.42
83,Exit long,2012-01-26 15:05,Close entry(s) order Long,2383.9,1,2390.2,-636,-0.27,467,0.20,-843,-0.35,4072,8.14
83,Entry long,2012-01-26 09:30,Long,2390.2,1,2390.2,-636,-0.27,467,0.20,-843,-0.35,4072,8.14
84,Exit long,2012-01-31 10:35,Close entry(s) order Long,2401.8,1,2409.4,-766,-0.32,27,0.01,-813,-0.34,3306,6.61
84,Entry long,2012-01-31 09:30,Long,2409.4,1,2409.4,-766,-0.32,27,0.01,-813,-0.34,3306,6.61
85,Exit short,2012-02-06 11:10,Close entry(s) order Short,2386.3,1,2379.8,-656,-0.28,267,0.11,-833,-0.35,2650,5.30
85,Entry short,2012-02-06 09:30,Short,2379.8,1,2379.8,-656,-0.28,267,0.11,-833,-0.35,2650,5.30
86,Exit long,2012-02-09 12:50,Close entry(s) order Long,2401.9,1,2412.2,-1036,-0.43,7,0.00,-1053,-0.44,1614,3.23
86,Entry long,2012-02-09 09:30,Long,2412.2,1,2412.2,-1036,-0.43,7,0.00,-1053,-0.44,1614,3.23
87,Exit short,2012-02-10 09:50,Close entry(s) order Short,2379.9,1,2376.7,-326,-0.14,197,0.08,-373,-0.16,1288,2.58
87,Entry short,2012-02-10 09:30,Short,2376.7,1,2376.7,-326,-0.14,197,0.08,-373,-0.16,1288,2.58
88,Exit short,2012-02-16 10:00,Close entry(s) order Short,2378.2,1,2373.6,-466,-0.20,197,0.08,-503,-0.21,822,1.64
88,Entry short,2012-02-16 09:30,Short,2373.6,1,2373.6,-466,-0.20,197,0.08,-503,-0.21,822,1.64
89,Exit short,2012-03-01 10:05,Close entry(s) order Short,2376.9,1,2372,-496,-0.21,467,0.20,-623,-0.26,326,0.65
89,Entry short,2012-03-01 09:30,Short,2372,1,2372,-496,-0.21,467,0.20,-623,-0.26,326,0.65
90,Exit short,2012-03-06 16:50,EOD Exit,2335.3,1,2331.5,-386,-0.17,547,0.23,-503,-0.22,-60,-0.12
90,Entry short,2012-03-06 09:30,Short,2331.5,1,2331.5,-386,-0.17,547,0.23,-503,-0.22,-60,-0.12
91,Exit short,2012-03-14 16:50,EOD Exit,2304.8,1,2306.4,154,0.07,1147,0.50,-663,-0.29,94,0.19
91,Entry short,2012-03-14 09:30,Short,2306.4,1,2306.4,154,0.07,1147,0.50,-663,-0.29,94,0.19
92,Exit short,2012-03-20 09:45,Close entry(s) order Short,2311.5,1,2306.4,-516,-0.22,0,0.00,-603,-0.26,-422,-0.84
92,Entry short,2012-03-20 09:30,Short,2306.4,1,2306.4,-516,-0.22,0,0.00,-603,-0.26,-422,-0.84
93,Exit short,2012-03-22 11:30,Close entry(s) order Short,2301.2,1,2291.2,-1006,-0.44,247,0.11,-1183,-0.52,-1428,-2.86
93,Entry short,2012-03-22 09:30,Short,2291.2,1,2291.2,-1006,-0.44,247,0.11,-1183,-0.52,-1428,-2.86
94,Exit long,2012-03-23 16:50,EOD Exit,2321.8,1,2314.9,684,0.30,1157,0.50,-263,-0.11,-744,-1.49
94,Entry long,2012-03-23 09:30,Long,2314.9,1,2314.9,684,0.30,1157,0.50,-263,-0.11,-744,-1.49
95,Exit long,2012-03-26 16:50,EOD Exit,2350.3,1,2340.7,954,0.41,1287,0.55,-343,-0.15,210,0.42
95,Entry long,2012-03-26 09:30,Long,2340.7,1,2340.7,954,0.41,1287,0.55,-343,-0.15,210,0.42
96,Exit short,2012-04-04 16:50,EOD Exit,2279.6,1,2282.4,274,0.12,1177,0.52,-323,-0.14,484,0.97
96,Entry short,2012-04-04 09:30,Short,2282.4,1,2282.4,274,0.12,1177,0.52,-323,-0.14,484,0.97
97,Exit long,2012-04-11 09:45,Close entry(s) order Long,2316.1,1,2316.5,-46,-0.02,497,0.21,-83,-0.04,438,0.88
97,Entry long,2012-04-11 09:30,Long,2316.5,1,2316.5,-46,-0.02,497,0.21,-83,-0.04,438,0.88
98,Exit long,2012-04-26 09:40,Close entry(s) order Long,2307.9,1,2311.4,-356,-0.15,27,0.01,-463,-0.20,82,0.16
98,Entry long,2012-04-26 09:30,Long,2311.4,1,2311.4,-356,-0.15,27,0.01,-463,-0.20,82,0.16
99,Exit short,2012-05-08 16:50,EOD Exit,2263.2,1,2271.3,804,0.35,1817,0.80,-23,-0.01,886,1.77
99,Entry short,2012-05-08 09:30,Short,2271.3,1,2271.3,804,0.35,1817,0.80,-23,-0.01,886,1.77
100,Exit short,2012-05-14 16:50,EOD Exit,2214,1,2218.7,464,0.21,607,0.27,-473,-0.21,1350,2.70
100,Entry short,2012-05-14 09:30,Short,2218.7,1,2218.7,464,0.21,607,0.27,-473,-0.21,1350,2.70
101,Exit long,2012-05-18 16:50,EOD Exit,2250.1,1,2248.4,164,0.07,667,0.30,-513,-0.23,1514,3.03
101,Entry long,2012-05-18 09:30,Long,2248.4,1,2248.4,164,0.07,667,0.30,-513,-0.23,1514,3.03
102,Exit long,2012-05-24 12:10,Close entry(s) order Long,2223.4,1,2230.2,-686,-0.31,207,0.09,-703,-0.32,828,1.66
102,Entry long,2012-05-24 09:30,Long,2230.2,1,2230.2,-686,-0.31,207,0.09,-703,-0.32,828,1.66
103,Exit short,2012-05-30 11:00,Close entry(s) order Short,2205.2,1,2198.7,-656,-0.30,1127,0.51,-833,-0.38,172,0.34
103,Entry short,2012-05-30 09:30,Short,2198.7,1,2198.7,-656,-0.30,1127,0.51,-833,-0.38,172,0.34
104,Exit long,2012-05-31 09:50,Close entry(s) order Long,2221.3,1,2225.4,-416,-0.19,447,0.20,-483,-0.22,-244,-0.49
104,Entry long,2012-05-31 09:30,Long,2225.4,1,2225.4,-416,-0.19,447,0.20,-483,-0.22,-244,-0.49
105,Exit long,2012-06-01 16:50,EOD Exit,2280,1,2257.6,2234,0.99,2967,1.31,-553,-0.24,1990,3.98
105,Entry long,2012-06-01 09:30,Long,2257.6,1,2257.6,2234,0.99,2967,1.31,-553,-0.24,1990,3.98
106,Exit long,2012-06-06 13:00,Close entry(s) order Long,2287.7,1,2291.9,-426,-0.19,497,0.22,-533,-0.23,1564,3.13
106,Entry long,2012-06-06 09:30,Long,2291.9,1,2291.9,-426,-0.19,497,0.22,-533,-0.23,1564,3.13
107,Exit long,2012-06-12 16:50,EOD Exit,2265.7,1,2260.1,554,0.25,1407,0.62,-183,-0.08,2118,4.24
107,Entry long,2012-06-12 09:30,Long,2260.1,1,2260.1,554,0.25,1407,0.62,-183,-0.08,2118,4.24
